path;characteristics
images/pre/PRE_F242589_23_21_L.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242627_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242603_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242561_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242633_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242639_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242715_23_21_L.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242642_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242594_23_21_R.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
images/pre/PRE_F242706_23_21_L.jpg;[0.014029990881681442, -0.019604066386818886, 0.1564018279314041, -0.05218994989991188, 0.007062789052724838, -0.05528463050723076, -0.0030419558752328157, -0.018754959106445312, -0.038182757794857025, -0.0006494886474683881, -0.015773599967360497, 0.036067813634872437, -0.03858937695622444, -0.1840280145406723, 0.0808238685131073, 0.08804194629192352, -0.09375400096178055, 0.021691104397177696, 0.026759086176753044, -0.07915131002664566, -0.0008461172692477703, -0.09623126685619354, -0.004971943795681, 0.12360835820436478, 0.053883977234363556, 0.07295582443475723, 0.06551244854927063, 0.16536176204681396, 0.09300457686185837, 0.20496532320976257, -0.18072789907455444, 0.20339983701705933, 0.01571001298725605, 0.04753153771162033, -0.04958408698439598, 0.016211848706007004, 0.058954183012247086, 0.013045799918472767, 0.05314023047685623, -0.09104418009519577, -0.04285450279712677, 0.23844394087791443, 0.04137413948774338, 0.008998739533126354, -0.046920012682676315, 0.03681495413184166, -0.024585343897342682, -0.0031040923204272985, 0.008862442336976528, -0.0745881125330925, -0.23536990582942963, -0.0811007097363472, -0.044935453683137894, 0.0508161224424839, -0.21685166656970978, -0.06390790641307831, -0.01195127610117197, -0.04144992306828499, -0.05735611543059349, -0.054593782871961594, -0.15436951816082, 0.029880259186029434, 0.025685805827379227, -0.058803003281354904, 0.012026233598589897, -0.01732052117586136, -0.041920289397239685, -0.004543399438261986, -0.036130715161561966, 0.011786982417106628, -0.06209154799580574, -0.0575370118021965, 0.13649187982082367, -0.03802873194217682, 0.10039523988962173, 0.026740284636616707, 0.014648430049419403, -0.037541382014751434, 0.04616466537117958, -0.03421381860971451, 0.04940257966518402, -0.17298278212547302, -0.05493700131773949, 0.007091540843248367, 0.014907799661159515, 0.1257329285144806, 0.013177490793168545, 0.0708940401673317, -0.08892116695642471, -0.010103845968842506, 0.0052786641754209995, -0.053369566798210144, 0.19095991551876068, 0.005402410868555307, -0.0794956237077713, -0.11313344538211823, -0.07572609186172485, 0.07398593425750732, 0.12783709168434143, -0.008312125690281391, -0.16863606870174408, -0.014158661477267742, -0.07283655554056168, 0.02289866842329502, -0.12323883920907974, -0.1911536604166031, 0.07694025337696075, 0.01902732625603676, -0.004496305715292692, -0.023515326902270317, 0.17124898731708527, 0.037756968289613724, 0.13568739593029022, -0.1859826296567917, -0.2085922658443451, -0.015284799039363861, 0.14860644936561584, 0.051569875329732895, -0.03143151104450226, -0.020560311153531075, 0.02259993925690651, -0.06207543984055519, 0.005028166808187962, 0.040856607258319855, -0.0761786475777626, -0.03963730111718178, -0.08662467449903488, -0.02766084298491478]
